"BehaviorSpace results (NetLogo 6.3.0)"
"TrabalhoPratico.nlogo"
"experiment"
"10/12/2023 19:12:53:071 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","energiaObtida","energiaHiena","nHienas","reproduzir?","EnergiaPerdidaCombate","nLeoes","AlimentoPeqPorte","descansoLeao","energiaLeao","FomeLeao","HienasMelhoradas?","AlimentoGrandePorte","LeoesMelhorados?","nCelulasAzuis","[step]","count hienas","count leoes","ticks"
"5","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","24","0","10000"
"6","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","29","0","10000"
"1","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","20","0","10000"
"2","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","21","0","10000"
"9","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","12","0","10000"
"4","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","24","0","10000"
"12","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","15","0","10000"
"10","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","24","0","10000"
"7","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","37","0","10000"
"3","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","44","0","10000"
"13","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","14","0","10000"
"8","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","40","0","10000"
"11","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","36","0","10000"
"15","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","35","0","10000"
"17","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","32","0","10000"
"18","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","37","0","10000"
"19","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","30","0","10000"
"14","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","51","0","10000"
"16","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","43","0","10000"
"20","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","30","0","10000"
"24","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","16","0","10000"
"21","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","37","0","10000"
"26","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","30","0","10000"
"27","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","22","0","10000"
"23","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","38","0","10000"
"25","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","37","0","10000"
"22","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","52","0","10000"
"32","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","12","0","10000"
"31","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","27","0","10000"
"30","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","35","0","10000"
"29","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","34","0","10000"
"28","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","42","0","10000"
"35","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","27","0","10000"
"33","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","38","0","10000"
"34","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","39","0","10000"
"36","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","37","0","10000"
"38","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","29","0","10000"
"39","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","22","0","10000"
"37","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","38","0","10000"
"41","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","26","0","10000"
"45","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","27","0","10000"
"44","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","32","0","10000"
"40","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","47","0","10000"
"43","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","38","0","10000"
"42","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","44","0","10000"
"46","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","31","0","10000"
"47","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","28","0","10000"
"50","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","18","0","10000"
"51","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","27","0","10000"
"49","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","29","0","10000"
"48","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","31","0","10000"
"54","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","17","0","10000"
"52","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","40","0","10000"
"58","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","20","0","10000"
"55","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","33","0","10000"
"57","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","29","0","10000"
"53","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","42","0","10000"
"56","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","39","0","10000"
"60","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","20","0","10000"
"61","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","26","0","10000"
"59","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","31","0","10000"
"62","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","30","0","10000"
"63","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","25","0","10000"
"64","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","25","0","10000"
"65","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","34","0","10000"
"66","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","30","0","10000"
"71","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","22","0","10000"
"67","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","46","0","10000"
"70","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","45","0","10000"
"73","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","9","0","10000"
"72","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","31","0","10000"
"68","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","46","0","10000"
"69","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","48","0","10000"
"79","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","21","0","10000"
"74","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","29","0","10000"
"78","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","24","0","10000"
"75","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","35","0","10000"
"80","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","17","0","10000"
"77","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","40","0","10000"
"76","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","45","0","10000"
"81","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","32","0","10000"
"83","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","27","0","10000"
"82","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","41","0","10000"
"85","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","34","0","10000"
"86","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","27","0","10000"
"87","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","26","0","10000"
"84","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","48","0","10000"
"88","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","34","0","10000"
"89","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","27","0","10000"
"91","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","32","0","10000"
"92","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","32","0","10000"
"90","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","35","0","10000"
"93","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","35","0","10000"
"95","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","35","0","10000"
"98","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","28","0","10000"
"97","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","36","0","10000"
"94","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","46","0","10000"
"96","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","55","0","10000"
"100","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","45","0","10000"
"99","25","25","50","true","15","50","15","15","25","10","true","7","true","5","10000","53","0","10000"
